Round 0 | Team 1 | Discarded Steel Giant [Balance] - 4 pips (Chance: 85%) | Reward: 0.00
Round 0 | Team 1 | Discarded Sabertooth [Balance] - 10 pips (Chance: 80%) | Reward: 0.00
Round 0 | Team 1 | Drew 2cards | Reward: 0.00
Round 0 | Team 1 | Drew TC Cleanse Charm | Reward: 0.00
Round 0 | Team 1 | Drew TC Power Nova | Reward: 0.00
Round 0 | Team 1 | Casting Glacial Fortress | Reward: 0.00
Round 0 | Team 2 | Casting TC Balance Blade | Reward: 0.00
Round 0 | Team 1 | Discarded Reshuffle [Balance] - 4 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded TC Power Nova [Balance] - 7 pips (Chance: 90%) | Reward: 0.00
Round 0 | Team 1 | Discarded Sandstorm [Balance] - 4 pips (Chance: 80%) | Reward: 0.00
Round 0 | Team 1 | Drew 3cards | Reward: 0.00
Round 0 | Team 1 | Drew TC Weakness | Reward: 0.00
Round 0 | Team 1 | Drew TC Cleanse Charm | Reward: 0.00
Round 0 | Team 1 | Drew TC Weakness | Reward: 0.00
Round 0 | Team 1 | Casting TC Cleanse Charm | Reward: 0.00
Round 0 | Team 2 | Casting pass | Reward: 0.00
Round 0 | Team 1 | Discarded Wand-Hit [Balance] - 1 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded TC Cleanse Charm [Storm] - 0 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded Balance Blade [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded Magnify [Astral] - 0 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded TC Weakness [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Drew 0cards | Reward: 0.00
Round 0 | Team 1 | Casting TC Weakness | Reward: 0.00
Round 0 | Team 2 | Casting TC Weakness | Reward: 0.00
Round 0 | Team 1 | Discarded Power Nova [Balance] - 7 pips (Chance: 85%) | Reward: 0.00
Round 0 | Team 1 | Drew 0cards | Reward: 0.00
Round 0 | Team 1 | Casting Glacial Fortress | Reward: 0.00
Round 0 | Team 2 | Casting TC Elemental Shield | Reward: 0.00
Round 0 | Team 1 | Discarded Sandstorm [Balance] - 4 pips (Chance: 80%) | Reward: 0.00
Round 0 | Team 1 | Discarded Mockenspiel [Balance] - 5 pips (Chance: 80%) | Reward: 0.00
Round 0 | Team 1 | Discarded Jinn’s Defense [Myth] - 3 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded Elemental Trap [Balance] - 1 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded Sandstorm [Balance] - 4 pips (Chance: 80%) | Reward: 0.00
Round 0 | Team 1 | Drew 5cards | Reward: 0.00
Round 0 | Team 1 | Drew TC Weakness | Reward: 0.00
Round 0 | Team 1 | Drew TC Balance Blade | Reward: 0.00
Round 0 | Team 1 | Drew TC Blinding Light | Reward: 0.00
Round 0 | Team 1 | Drew TC Reshuffle | Reward: 0.00
Round 0 | Team 1 | Drew TC Elemental Trap | Reward: 0.00
Round 0 | Team 1 | Casting TC Blinding Light | Reward: 0.00
Round 0 | Team 2 | Casting TC Empower | Reward: 0.00
Round 0 | Team 1 | Discarded TC Weakness [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 0 | Team 1 | Discarded Duststorm Jinn [Balance] - 9 pips (Chance: 80%) | Reward: 0.00
