=== Balance-Travis Waterblood #1 ===

Name: Travis Waterblood
Identity (School): Balance
Pips: 3

== Stats ==
Health: 11443
Damage: {storm=7, myth=7, death=7, balance=181, shadow=7, fire=7, ice=49, life=27}
Resist: {storm=88, myth=66, death=66, balance=66, shadow=66, fire=66, ice=66, life=66}
Accuracy: {storm=0, myth=0, death=0, balance=28, shadow=0, fire=0, ice=0, life=0}
Critical: {storm=0, myth=0, death=0, balance=636, shadow=0, fire=0, ice=0, life=0}
Block: {storm=587, myth=587, death=587, balance=587, shadow=587, fire=587, ice=587, life=587}
Pierce: {storm=2, myth=2, death=2, balance=45, shadow=2, fire=2, ice=2, life=2}
Stun Resist: 0
Incoming: 0
Outgoing: 0
Pip Conversion: {storm=0, myth=0, death=0, balance=914, fire=0, ice=0, life=0}
Power Pip %: 112
Shadow Pip Rating: 84
Archmastery Rating: 133

== Main Deck ==
 1) Glacial Fortress  (pips=3, chance=100, school=Ice)
 2) Glacial Fortress  (pips=3, chance=100, school=Ice)
 3) Glacial Fortress  (pips=3, chance=100, school=Ice)
 4) Glacial Fortress  (pips=3, chance=100, school=Ice)
 5) Stun Block  (pips=0, chance=100, school=Ice)
 6) Stun Block  (pips=0, chance=100, school=Ice)
 7) Stun Block  (pips=0, chance=100, school=Ice)
 8) Stun Block  (pips=0, chance=100, school=Ice)
 9) Jinn’s Defense  (pips=3, chance=100, school=Myth)
10) Jinn’s Defense  (pips=3, chance=100, school=Myth)
11) Jinn’s Defense  (pips=3, chance=100, school=Myth)
12) Jinn’s Defense  (pips=3, chance=100, school=Myth)
13) Magnify  (pips=0, chance=100, school=Astral)
14) Magnify  (pips=0, chance=100, school=Astral)
15) Magnify  (pips=0, chance=100, school=Astral)
16) Magnify  (pips=0, chance=100, school=Astral)
17) Balance Blade  (pips=0, chance=100, school=Balance)
18) Balance Blade  (pips=0, chance=100, school=Balance)
19) Bladestorm  (pips=1, chance=100, school=Balance)
20) Bladestorm  (pips=1, chance=100, school=Balance)
21) Donate Pip  (pips=1, chance=100, school=Balance)
22) Donate Pip  (pips=1, chance=100, school=Balance)
23) Scion Of Balance  (pips=11, chance=80, school=Balance)
24) Duststorm Jinn  (pips=9, chance=80, school=Balance)
25) Duststorm Jinn  (pips=9, chance=80, school=Balance)
26) Duststorm Jinn  (pips=9, chance=80, school=Balance)
27) Judgement  (pips=0, chance=85, school=Balance)
28) Mana Burn  (pips=5, chance=80, school=Balance)
29) Mana Burn  (pips=5, chance=80, school=Balance)
30) Mana Burn  (pips=5, chance=80, school=Balance)
31) Mockenspiel  (pips=5, chance=80, school=Balance)
32) Power Nova  (pips=7, chance=85, school=Balance)
33) Power Nova  (pips=7, chance=85, school=Balance)
34) Power Nova  (pips=7, chance=85, school=Balance)
35) Power Nova  (pips=7, chance=85, school=Balance)
